Date,VX60d,VX90d,VF75,VVIX,VIX
2017-08-28,14.0536,14.3879,14.2207,96.41999816894531,11.319999694824219
2017-08-29,14.1679,14.4764,14.3221,98.79000091552734,11.699999809265137
2017-08-30,14.2321,14.5307,14.3814,98.9000015258789,11.220000267028809
2017-08-31,13.9179,14.275,14.0964,94.86000061035156,10.59000015258789
2017-09-01,13.9955,14.325,14.1603,93.5999984741211,10.130000114440918
2017-09-05,14.2982,14.5293,14.4138,102.66000366210938,12.229999542236328
2017-09-06,14.5286,14.8393,14.6839,99.61000061035156,11.630000114440918
2017-09-07,14.4821,14.825,14.6536,96.29000091552734,11.550000190734863
2017-09-08,14.7179,15.0007,14.8593,100.12000274658203,12.119999885559082
2017-09-11,14.25,14.6607,14.4554,93.66000366210938,10.729999542236328
2017-09-12,14.0179,14.4221,14.22,92.38999938964844,10.579999923706055
2017-09-13,13.6393,14.1107,13.875,90.88999938964844,10.5
2017-09-14,13.7214,14.175,13.9482,92.08999633789062,10.4399995803833
2017-09-15,13.6241,14.085,13.8546,90.62999725341797,10.170000076293945
2017-09-18,13.2564,13.7279,13.4921,90.45999908447266,10.149999618530273
2017-09-19,13.3307,13.8879,13.6093,91.22000122070312,10.180000305175781
2017-09-20,13.2436,13.7579,13.5007,90.91000366210938,9.779999732971191
2017-09-21,13.3536,13.825,13.5893,92.31999969482422,9.670000076293945
2017-09-22,13.5193,14.0179,13.7686,93.29000091552734,9.59000015258789
2017-09-25,13.5164,14.0964,13.8064,96.4000015258789,10.210000038146973
2017-09-26,13.4179,13.9893,13.7036,94.80999755859375,10.170000076293945
2017-09-27,13.4321,14.0321,13.7321,95.36000061035156,9.869999885559082
2017-09-28,13.3136,13.975,13.6443,94.0999984741211,9.550000190734863
2017-09-29,13.2293,13.9179,13.5736,93.13999938964844,9.510000228881836
2017-10-02,12.9493,13.7661,13.3577,92.4800033569336,9.449999809265137
2017-10-03,13.0179,13.7893,13.4036,91.58999633789062,9.510000228881836
2017-10-04,13.0321,13.8321,13.4321,92.12000274658203,9.630000114440918
2017-10-05,12.7736,13.625,13.1993,91.79000091552734,9.1899995803833
2017-10-06,12.8679,13.7679,13.3179,97.08999633789062,9.649999618530273
2017-10-09,13.0193,13.9964,13.5079,101.83000183105469,10.329999923706055
2017-10-10,12.805,13.8732,13.3391,97.33000183105469,10.079999923706055
2017-10-11,12.675,13.7321,13.2036,99.22000122070312,9.850000381469727
2017-10-12,12.595,13.75,13.1725,97.7699966430664,9.90999984741211
2017-10-13,12.415,13.5964,13.0057,97.80000305175781,9.609999656677246
2017-10-16,12.275,13.4911,12.883,97.6500015258789,9.90999984741211
2017-10-17,12.3007,13.5357,12.9182,98.73999786376953,10.3100004196167
2017-10-18,12.2607,13.4821,12.8714,94.33999633789062,10.069999694824219
2017-10-19,12.1821,13.375,12.7786,93.33000183105469,10.050000190734863
2017-10-20,12.1021,13.3009,12.7015,90.52999877929688,9.970000267028809
2017-10-23,12.6036,13.7179,13.1607,97.08999633789062,11.069999694824219
2017-10-24,12.6375,13.6911,13.1643,98.43000030517578,11.15999984741211
2017-10-25,12.7321,13.8036,13.2679,100.16000366210938,11.229999542236328
2017-10-26,12.8625,13.875,13.3688,97.7300033569336,11.300000190734863
2017-10-27,12.4607,13.4964,12.9786,92.77999877929688,9.800000190734863
2017-10-30,12.6625,13.6107,13.1366,95.19000244140625,10.5
2017-10-31,12.55,13.4821,13.0161,92.01000213623047,10.180000305175781
2017-11-01,12.6875,13.6036,13.1455,92.0,10.199999809265137
2017-11-02,12.7679,13.725,13.2464,91.4800033569336,9.930000305175781
2017-11-03,12.8589,13.8232,13.3411,89.68000030517578,9.140000343322754
2017-11-06,12.8607,13.7929,13.3268,91.25,9.399999618530273
2017-11-07,13.0036,13.933,13.4683,93.44999694824219,9.890000343322754
2017-11-08,13.0464,13.9929,13.5196,97.73999786376953,9.779999732971191
2017-11-09,13.1393,14.0875,13.6134,98.81999969482422,10.5
2017-11-10,13.4679,14.4143,13.9411,104.76000213623047,11.289999961853027
2017-11-13,13.7196,14.6393,14.1795,106.30000305175781,11.5
2017-11-14,13.8107,14.7661,14.2884,103.18000030517578,11.59000015258789
2017-11-15,14.2018,15.0482,14.625,106.2699966430664,13.130000114440918
2017-11-16,13.8821,14.775,14.3286,100.1500015258789,11.760000228881836
2017-11-17,13.8304,14.7179,14.2741,97.12000274658203,11.430000305175781
2017-11-20,13.4821,14.3107,13.8964,93.76000213623047,10.649999618530273
2017-11-21,13.0714,13.9893,13.5304,89.2699966430664,9.729999542236328
2017-11-22,13.0107,13.9536,13.4821,86.41999816894531,9.880000114440918
2017-11-24,13.0232,13.9271,13.4752,86.31999969482422,9.670000076293945
2017-11-27,13.1643,14.0264,13.5954,86.58000183105469,9.869999885559082
2017-11-28,13.0643,13.9493,13.5068,85.7300033569336,10.029999732971191
2017-11-29,13.3179,14.2221,13.77,89.56999969482422,10.699999809265137
2017-11-30,13.4107,14.225,13.8179,89.94000244140625,11.279999732971191
2017-12-01,13.6696,14.4464,14.058,95.02999877929688,11.430000305175781
