Date,VX60d,VX90d,VF75,VVIX,VIX,sigma_now,ema63,macd,roll_mu,roll_sd,roll_rank,roc_3m,roc_1m,vix_spread,spike_level,atr10,vf75_change_10d_atr
2018-06-15,14.2071,14.8411,14.5241,101.66000366210938,11.979999542236328,1.0166000366210937,16.024293516023334,-0.2436867797342792,16.956510714285713,1.440766199774926,0.0,-13.961340923765908,-6.07616547139429,-2.544100457763673,19.838043113835564,0.1789500000000004,-5.529477507683696
2018-06-18,14.1464,14.7607,14.4536,99.87000274658205,12.3100004196167,0.9987000274658204,15.975209343647604,-0.253127159757085,16.922242857142855,1.465740718313372,0.0,-17.059174585686087,-5.22229508196721,-2.143599580383301,19.8537242937696,0.1447500000000005,-4.473229706390318
2018-06-19,14.7121,15.2393,14.9757,104.12999725341795,13.350000381469728,1.0412999725341796,15.943974676658618,-0.1470203693054941,16.893620238095234,1.480099011486155,0.144578313253012,-14.302145922746789,-3.23524850740482,-1.6256996185302732,19.853818261067545,0.1834900000000004,0.0506839609787978
2018-06-20,14.565,15.2036,14.8843,98.51000213623048,12.789999961853027,0.9851000213623048,15.910859843013036,-0.0967964714614666,16.859483333333337,1.493078543986885,0.0963855421686747,-14.22190974003147,-0.8896050712815962,-2.0943000381469723,19.845640421307102,0.1579000000000004,1.6795440151994894
2018-06-21,15.2521,15.7,15.4761,107.4499969482422,14.640000343322754,1.0744999694824218,15.897273597918876,0.0492360640428088,16.829428571428572,1.4952375457464688,0.2650602409638554,-14.949660372381343,1.7735953282828287,-0.8360996566772467,19.81990366292151,0.2040100000000004,3.5601196019802885
2018-06-22,15.0564,15.5429,15.2996,102.48999786376952,13.770000457763672,1.024899978637695,15.878596297983911,0.0967196050908345,16.802304761904765,1.5021440451924415,0.2409638554216867,-19.49528009008345,2.206516002752301,-1.529599542236328,19.806592852289647,0.2161900000000004,2.290115176465137
2018-06-25,16.2893,16.525,16.4071,114.31999969482422,17.329999923706055,1.1431999969482425,15.895112038671916,0.3301997425901426,16.796391666666665,1.502717206737061,0.3975903614457831,-10.906997833370449,10.11476510067113,0.9228999237060548,19.80182608014079,0.3196700000000003,5.240716989395309
2018-06-26,16.1598,16.517,16.3384,107.5199966430664,15.920000076293944,1.075199966430664,15.908964787463418,0.4348074524664067,16.796913095238097,1.50254858163982,0.3855421686746988,-14.979445282822487,8.21279075928576,-0.4183999237060547,19.802010258517736,0.3261700000000003,4.914308489438018
2018-06-27,16.9036,17.1393,17.0214,112.75,17.90999984741211,1.1275,15.943728387855185,0.6039734079925356,16.795794047619047,1.5023435155245892,0.5301204819277109,-12.989648562300316,5.413288908981673,0.8885998474121095,19.800481078668227,0.3733800000000002,5.557341046654877
2018-06-28,16.6196,16.9125,16.7661,108.87999725341795,16.850000381469727,1.0887999725341797,15.96942750073471,0.6232504583887781,16.784692857142858,1.4990336746649924,0.4578313253012048,-11.656470811400387,5.130456047504683,0.083900381469725,19.782760206472844,0.36244,6.026928595077812
